"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","11.4.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-11.4.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-11.4.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"glibc","2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e.tar.gz","https://github.com/bminor/glibc/archive/2.39-5-ge0910f1d3278f05439fb434ee528fc9be1b6bd5e","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"linux-headers","custom","GPL-2.0","","linux-0b54dbda3cca2beb51e236a25738784e90853b64.tar.gz","https://github.com/raspberrypi/linux/archive/0b54dbda3cca2beb51e236a25738784e90853b64","skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"busybox","1.36.1","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.36.1.tar.bz2","https://www.busybox.net/downloads","expat [MIT] fbset [GPL-2.0] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] iproute2 [GPL-2.0+] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] python3 [Python-2.0, others] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] tcl [TCL] tk [TCL] util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"fbset","2.1","GPL-2.0","fbset.c","fbset-2.1.tar.gz","http://users.telenet.be/geertu/Linux/fbdev","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"iproute2","6.8.0","GPL-2.0+","COPYING","iproute2-6.8.0.tar.xz","https://cdn.kernel.org/pub/linux/utils/net/iproute2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libcap [GPL-2.0 or BSD-3-Clause] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libcap","2.69","GPL-2.0 or BSD-3-Clause","License","libcap-2.69.tar.xz","https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"kmod","31","LGPL-2.1+ (library), GPL-2.0+ (tools)","libkmod/COPYING COPYING","kmod-31.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [Apache-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libopenssl","3.3.0","Apache-2.0","LICENSE.txt","openssl-3.3.0.tar.gz","https://www.openssl.org/source","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libzlib","1.3.1","Zlib","LICENSE","zlib-1.3.1.tar.xz","https://www.zlib.net","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"systemd","254.9","LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)","LICENSE.GPL2 LICENSE.LGPL2.1 LICENSES/BSD-2-Clause.txt LICENSES/BSD-3-Clause.txt LICENSES/CC0-1.0.txt LICENSES/LGPL-2.0-or-later.txt LICENSES/Linux-syscall-note.txt LICENSES/lookup3-public-domain.txt LICENSES/MIT-0.txt LICENSES/MIT.txt LICENSES/murmurhash2-public-domain.txt LICENSES/OFL-1.1.txt LICENSES/README.md","systemd-254.9.tar.gz","https://github.com/systemd/systemd-stable/archive/v254.9","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libopenssl [Apache-2.0] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libxcrypt","4.4.36","LGPL-2.1+","LICENSING COPYING.LIB","libxcrypt-4.4.36.tar.xz","https://github.com/besser82/libxcrypt/releases/download/v4.4.36","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"util-linux-libs","2.39.3","LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libxcrypt [LGPL-2.1+] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"util-linux","2.39.3","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] python3 [Python-2.0, others] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] tcl [TCL] tk [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"python3","3.11.8","Python-2.0, others","LICENSE","Python-3.11.8.tar.xz","https://python.org/ftp/python/3.11.8","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libopenssl [Apache-2.0] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] tcl [TCL] tk [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"expat","2.6.2","MIT","COPYING","expat-2.6.2.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.6.2","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"libffi","3.4.6","MIT","LICENSE","libffi-3.4.6.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.6","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"sqlite","3.45.1","blessing","tea/license.terms","sqlite-autoconf-3450100.tar.gz","https://www.sqlite.org/2024","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"tk","8.6.13","TCL","license.terms","tk8.6.13-src.tar.gz","http://downloads.sourceforge.net/project/tcl/Tcl/8.6.13","expat [MIT] fontconfig [fontconfig license] freetype [FTL or GPL-2.0+] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libxcb [MIT] libxcrypt [LGPL-2.1+] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing] tcl [TCL] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xcb-proto [MIT] xlib_libX11 [MIT] xlib_libXau [MIT] xlib_libXdmcp [MIT] xlib_libXext [MIT] xlib_libXft [MIT] xlib_libXrender [MIT] xlib_xtrans [MIT] xorgproto [MIT] xutil_util-macros [MIT]"
"tcl","8.6.13","TCL","license.terms","tcl8.6.13-src.tar.gz","http://downloads.sourceforge.net/project/tcl/Tcl/8.6.13","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-systemd [unknown] sqlite [blessing]"
